country_code_BACI,country_name,iso3,AFG,ALB,DZA,AND,AGO,ATG,AZE,ARG,AUS,AUT,BHS,BHR,BGD,ARM,BRB,BEL,BMU,BTN,BOL,BIH,BWA,BRA,BLZ,SLB,VGB,BRN,BGR,MMR,BDI,BLR,KHM,CMR,CAN,CYM,CAF,LKA,TCD,CHL,CHN,COL,COG,COD,CRI,HRV,CUB,CYP,CZE,BEN,DNK,DMA,DOM,ECU,SLV,GNQ,ETH,EST,FJI,FIN,FRA,PYF,DJI,GAB,GEO,PSE,DEU,GHA,GIB,GRC,GRL,GUM,GTM,GIN,GUY,HTI,HND,HKG,HUN,ISL,IDN,IRN,IRQ,IRL,ISR,ITA,CIV,JAM,JPN,KAZ,JOR,KEN,PRK,KOR,KWT,KGZ,LAO,LBN,LSO,LVA,LBR,LBY,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,S19,MNG,MDA,MNE,MAR,MOZ,OMN,NAM,NPL,NLD,ANT,ABW,NCL,VUT,NZL,NIC,NER,NGA,NOR,MHL,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,GNB,TLS,QAT,ROU,RUS,RWA,LCA,VCT,SMR,SAU,SEN,SRB,SYC,SLE,IND,SGP,SVK,VNM,SVN,SOM,ZAF,ZWE,ESP,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,TGO,TTO,ARE,TUN,TUR,TKM,UGA,UKR,MKD,EGY,GBR,TZA,USA,BFA,URY,UZB,VEN,YEM,ZMB
533,Aruba,ABW,0,.15151516,0,.12556054,0,0,0,.1442786,.18309858,0,.18831168,0,0,.17171717,0,0,.11111111,0,0,.1010101,.1010101,.10593221,.10695187,0,0,0,.13513513,0,0,0,.15151516,0,.12749004,0,.21897811,0,0,0,0,0,.10447761,.12307692,0,0,.10909091,0,0,.16161616,.10084034,.10397553,0,0,.13131313,.1003861,0,.10185185,.21359223,0,.20437956,0,0,0,.10344828,.20192307,0,0,0,0,.12538226,.16161616,.10550459,.14423077,.16161616,0,.11486486,0,0,0,0,.11398964,.1496063,.12121212,0,.21212122,0,0,.11111111,.12365592,0,.13131313,.14107884,.18309858,0,0,0,0,.10283688,0,0,.10948905,.11170213,0,.11068702,0,.11702128,0,.15204678,0,.14893617,0,0,0,.16129032,0,0,.16161616,.20588236,0,.16161616,.1010101,.11049724,0,0,0,0,.15151516,0,.22689076,0,.13559322,0,.18584071,0,.14285715,0,.1882353,0,0,0,0,0,.13131313,0,.1010101,0,0,0,.11111111,0,0,0,.17449665,0,0,0,.10309278,0,.17171717,.10126583,0,0,0,0,.11731844,.13131313,0,0,.11111111,0,.1010101,0,0,0,.10648149,0,.2,.20253165,0,.19374999,0,.14141414,0,0,0,.10833333,0,.13131313,.17721519,.14141414,.20338982
540,New Caledonia,NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13157895,0,0,0,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.14634146,0,0,0,0,0,.13559322,0,0,0,0,0,0,.11111111,0,0,.16,0,0,0,.11111111,0,.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10714286,0,0,.17857143,0,0,0,0
548,Vanuatu,VUT,0,.14285715,0,0,0,0,.17894737,0,.1056338,0,.1038961,0,0,.22499999,0,.26153848,.33333334,.11111111,0,0,0,0,0,0,0,.10869565,0,0,0,0,.13580246,.13333334,0,0,0,0,.125,0,0,0,0,0,0,0,0,0,0,.2,0,0,0,0,0,.1003861,0,0,.21359223,0,0,0,0,0,0,.14423077,0,.11666667,0,0,0,0,0,0,0,0,0,0,.12698413,0,0,0,0,.13333334,0,.10810811,0,0,.14864865,.11827957,0,.125,.13278009,.11267605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13475177,0,0,0,0,.30000001,0,.15116279,0,0,.16901408,.13333334,0,.19047619,0,.15151516,0,0,0,.13445379,0,0,0,0,.13333334,0,0,.10588235,0,0,0,0,0,.11392405,0,0,0,0,0,.2238806,0,0,.18333334,.18791947,0,0,0,0,0,.16666667,0,.13333334,0,0,0,0,0,0,0,.22580644,0,.18032786,0,0,0,0,0,.15000001,.18987341,0,0,0,.14130434,0,0,0,0,0,.2,0,.11666667,.12711865
554,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,.10810811,0,0,.12307692,.12121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.19791667,.22413793,.20512821,.21621622,0,0,0,0,0,0,0,.17021276,0,0,0,.10810811,0,0,0,0,.14563107,0,0,0,.10810811,0,0,.14423077,0,.27027026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11538462,0,0,0,0,0,0,0,0,0,0,0,0,0,.11578947,0,.13513513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10909091,0,.13953489,0,.13461539,.12676056,.1891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.17073171,0,0,0,0,0,0,0,0,0,.1641791,0,.125,.21621622,0,0,0,0,0,0,.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10126583,0,0,0,0,.15555556,0,0,0,.13513513,.14893617,0,.10169491,0
558,Nicaragua,NIC,0,.10084034,0,.20179372,.14361702,0,.11764706,.17910448,.16197184,.15126051,.2012987,0,0,.13445379,0,.15966387,.15126051,.31932774,.16118421,.1092437,0,.16949153,.12834224,.11650486,0,.15966387,.14864865,.17050691,0,0,.20168068,0,.13545817,0,.23357664,0,.23529412,.13445379,0,0,.21890548,.32307693,.12605043,0,.14545454,0,0,.12605043,0,.13149847,.29842931,0,.20168068,.18146718,.112,.16975309,.2184874,0,.35766423,0,0,0,.23529412,.25210086,0,.1092437,0,0,.18654434,0,.30733946,.2184874,.18487395,.14035088,.44594595,.17627119,.25210086,.10791367,.19066148,.15284973,.1496063,0,0,.1092437,.10593221,0,.23529412,.24193548,0,0,.2406639,.22535211,.24369748,0,0,.26050422,.15248227,0,0,.22627737,.27127659,.17647059,.19083969,.10526316,.18085106,.26760563,.2748538,.20967741,.32624114,.1092437,.14224137,0,.24193548,.10084034,0,.25210086,.15126051,.10084034,.15126051,.10084034,.29281768,.21008404,.11538462,.22689076,0,.13445379,0,0,.12376238,0,.18232045,.21238938,0,.24423963,.24358974,.22352941,.24666667,.10084034,.11165048,.10169491,.16425121,.21008404,.17982456,0,0,.16216215,0,.15126051,0,0,0,.24832214,0,0,.11764706,.31958762,0,0,.16772152,.1092437,0,.10410095,0,.18994413,0,.19417475,0,.22689076,.13333334,.11764706,0,0,.10084034,.20833333,.1424581,.235,.29113925,.1402715,.23125,0,.15966387,.1092437,0,0,.17916666,0,.15966387,.13080169,.12605043,.24369748
562,Niger,NER,0,.10148515,0,.16336633,.17821783,0,0,.23762377,.13118812,.13613862,.13366337,.36705881,0,0,.55737704,0,0,0,.25,0,0,.19306931,.19059406,.17079207,0,0,.17079207,.23514852,0,0,0,0,.26980197,.25247526,.11881188,.21314742,0,0,0,0,.15841584,.17326732,0,0,.23762377,.28960395,.42066422,0,.12871288,.41584158,.17821783,0,0,.24752475,.382,.30940595,0,.24009901,.13118812,.43346775,0,.42326733,.10396039,0,0,0,0,0,.31930694,0,.23514852,0,0,.13118812,.13861386,.25,0,.27475247,.14851485,.25742576,.16831683,0,0,0,.24504951,.29908258,.10148515,.22029702,.25,0,.23514852,.13613862,0,.15594059,0,0,.23019803,0,0,.12376238,.12128713,0,.31683168,.17326732,.29455444,0,.13613862,.13118812,0,0,.19554456,0,.16831683,0,0,0,0,0,0,0,.11386139,0,.15841584,0,0,0,0,.12376238,0,.12623763,.11881188,.27722773,0,.13366337,.15594059,.14603961,0,0,.44417477,.13118812,.34057972,0,.19306931,0,0,.17079207,.10643564,0,.19059406,0,0,.14851485,.17079207,0,0,.17326732,0,0,.30445546,0,.23267327,.25495049,.28465346,.17574258,0,.17326732,0,0,.22277227,0,0,0,0,.1509901,.23514852,.16584158,.15594059,.21039604,.17079207,.45222929,0,0,0,0,.12871288,0,0,.23762377,0,.10891089
566,Nigeria,NGA,0,0,0,.11659193,.10106383,0,0,.11940298,0,0,.13636364,.11529412,0,0,.10070258,0,0,0,0,.10169491,.11864407,0,0,.13592233,0,0,.13513513,0,0,0,0,0,.17928287,.1010101,.15328467,0,0,0,0,0,0,0,0,0,.14545454,0,0,0,0,.14067279,0,0,0,.1003861,.106,0,0,.16455697,0,.10080645,0,.11479592,.13559322,.11864407,.10169491,0,0,0,.10703364,0,0,.11016949,0,0,0,.11864407,0,0,.10116731,0,0,0,0,.21186441,0,0,0,0,0,.11864407,.10788382,.1056338,0,.10460251,0,0,0,0,0,0,0,0,.10305344,.12631579,0,0,.10526316,0,.10638298,0,0,0,.12365592,0,0,0,0,0,.10169491,0,0,0,0,.13559322,0,0,0,0,.12623763,0,0,.13716814,0,0,0,0,0,0,0,.13559322,.10869565,0,0,0,0,.10810811,.19083969,0,0,0,0,.12751678,.11764706,0,0,0,0,0,0,0,.10227273,0,.16447368,0,0,0,0,0,0,0,0,0,0,0,0,.12,.10759494,.1402715,.11875,.12101911,0,0,0,0,0,0,0,.17299578,0,0
579,Norway,NOR,0,.13812155,0,.26905829,.19148937,0,.1160221,.15920398,.12154696,0,.1160221,.12235294,0,.10497238,.12177986,.11049724,0,.25414366,.20723684,.10497238,0,.18644068,.16042781,.15533981,0,0,.12612613,.20276497,0,0,.1160221,0,.11155379,.11111111,0,.21912351,.10497238,0,0,0,.21393035,.15469614,0,0,.14090909,.13299233,0,0,.14917128,.14984709,.30366492,0,0,.27799228,.154,.17901234,.15469614,0,.24309392,.12903225,0,.10714286,.14917128,0,0,0,0,0,.22018349,0,.27981651,.12707183,0,.25263157,.23756906,.18983051,.1436464,.12230216,.23346303,.26683939,0,0,0,0,.19491525,.18899083,0,.27956989,0,0,.25311205,.19337016,.16574585,.15481171,0,.17679559,.21985815,0,0,.22099447,.35106382,.1436464,.18702289,.16842106,.17375886,.23756906,.23756906,.30107528,.3038674,0,.13362069,0,.26344085,0,0,.17127071,0,0,0,0,0,.13812155,.18131869,0,0,0,0,.18232045,.11881188,0,0,.19469027,0,.3548387,.22649573,.24861878,.19337016,0,.13592233,.17127071,.20531401,0,.26754385,.10497238,0,.2027027,0,.10497238,.15194346,0,0,.18232045,0,0,0,.28865978,.11049724,0,.19303797,0,.13257575,.14195584,0,.20994475,0,.34951457,0,.1436464,.22,.10497238,0,0,0,.28703704,.24860336,.245,.20994475,.14479639,.19337016,.11252654,0,0,0,0,.30000001,0,0,.12236287,0,.11049724
584,Marshall Isds,MHL,0,.1460177,0,.21681416,.18584071,0,0,.3318584,.1238938,.12831858,.2920354,.24235295,0,.1238938,.24355972,0,0,0,.23355263,0,0,.25,.24336283,.17699115,0,0,.2699115,.21681416,0,0,0,0,.32669324,.18181819,.27876106,.13944224,.10619469,.10176991,0,0,.2079646,.22566372,0,0,.24778761,.19693094,.18819188,0,.15044248,.3119266,.18141593,0,.14159292,.23166023,.23800001,.28395063,.15929204,.23206751,.18584071,.23387097,0,.20663266,.16814159,.17699115,0,0,0,0,.26299694,0,.26106194,.11504425,0,.1368421,.19026549,.23050848,0,.23021583,.15953307,.13471502,.19026549,0,0,.16371681,.23305085,.18348624,.11504425,.24778761,0,0,.31120333,.25221238,0,.13389121,0,0,.26950353,0,0,.11946902,.14159292,0,.31297711,.2079646,.29787233,.11061947,.21681416,.19026549,.15044248,0,.19827586,0,.21681416,0,0,.11946902,.13716814,0,.10619469,0,.18141593,0,.15929204,.18584071,0,0,0,.21238938,.27722773,.13716814,.19469027,0,0,.21681416,.16666667,.21681416,.1460177,0,.25728154,.1238938,.2415459,.11061947,.25877193,0,0,.15878378,.11061947,0,.11660777,0,0,.2079646,.11061947,0,0,.21681416,.1238938,0,.28797469,0,.23106061,.21451104,.25,.19911504,0,.19911504,0,.11946902,.19333333,0,0,0,0,.20353982,.20949721,.25663716,.19911504,.20353982,.33628318,.19745223,0,0,0,0,.19583334,0,.10619469,.2658228,0,.1460177
586,Pakistan,PAK,0,0,0,0,0,0,.17894737,0,0,0,0,0,0,0,0,.15384616,.10606061,0,0,.11904762,.10344828,0,0,0,0,0,0,0,0,.1724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11969112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13793103,0,0,0,0,.10810811,.11290322,0,.1125,0,0,0,0,.12068965,0,0,0,.10344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10344828,0,0,0,0,0,0,0,0,.10439561,0,0,.13333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.12068965,0,0,0,0,.18965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10194175,0,.13978495,0,0,0,0,.13793103,0,0,0,0,0,0,0,.11956522,0,0,0,0,0,0,0,.15254237,0
