country_code_BACI,country_name,iso3,AFG,ALB,DZA,AGO,AZE,ARG,AUS,AUT,BHS,BHR,BGD,ARM,BRB,BEL,BMU,BOL,BIH,BRA,BLZ,VGB,BRN,BGR,MMR,BLR,KHM,CMR,CAN,CYM,CAF,LKA,TCD,CHL,CHN,COL,COG,COD,CRI,HRV,CUB,CYP,CZE,BEN,DNK,DOM,ECU,SLV,GNQ,ETH,EST,FJI,FIN,FRA,PYF,GAB,GEO,GMB,DEU,GHA,GRC,GRL,GTM,GIN,GUY,HTI,HND,HKG,HUN,ISL,IDN,IRN,IRQ,IRL,ISR,ITA,CIV,JAM,JPN,KAZ,JOR,KEN,PRK,KOR,KWT,KGZ,LAO,LBN,LVA,LBR,LBY,LTU,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,S19,MNG,MDA,MAR,MOZ,OMN,NPL,NLD,ANT,ABW,NCL,NZL,NIC,NER,NGA,NOR,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SYC,SLE,IND,SGP,SVK,VNM,SVN,ZA1,ZWE,ESP,SDN,SUR,SWE,CHE,SYR,TJK,THA,TGO,TTO,ARE,TUN,TUR,TKM,UGA,UKR,MKD,EGY,GBR,TZA,USA,PUS,BFA,URY,UZB,VEN,YEM,SCG,ZMB
92,Br. Virgin Isds,VGB,0,0,0,.17407407,0,0,.21111111,.11111111,.17407407,.29648241,.1037037,.29816514,0,0,0,.4222973,0,0,.2962963,0,0,0,0,.26666668,.13333334,0,0,.3037037,.15047021,.14814815,.21287128,0,0,0,0,.19259259,.15185185,0,0,.2074074,.32779098,.25,.30891719,.1037037,0,0,.18148148,.3075,.38518518,0,.25555557,.10740741,.27450982,0,.24455206,.16296296,0,0,0,0,.2888889,0,.25925925,0,.2,.17407407,.35185185,0,.34020618,.28518519,.24451411,.15185185,.10740741,0,0,.16296296,.28976035,.11851852,.15185185,.16906475,0,.18518518,.11481482,0,.22222222,0,0,.21111111,0,0,.15925926,.42592594,.36296296,.12592593,.12592593,.19259259,.10740741,0,.24074075,.25925925,0,0,0,0,0,0,.12962963,0,.16666667,0,0,0,.11481482,.27475247,.15555556,.12592593,.21111111,0,.12222222,.2,.13703704,0,0,.37777779,.19259259,.36296296,.10740741,0,0,0,.35925925,.2074074,.21305841,0,.34074074,0,.12592593,.10740741,0,.22222222,0,.33453238,.32380953,.27491409,0,0,0,.10740741,.22222222,0,0,.14074074,.11851852,.36713287,.11481482,0,.34444445,.22592592,.18119267,0,.12962963,0,.13333334,0,.22962964,.1037037,.14444445
96,Brunei Darussalam,BRN,0,0,0,0,0,0,.11351351,0,0,0,0,0,.12280702,0,0,0,0,.12037037,0,0,0,0,0,0,0,0,0,0,0,0,0,.11666667,.15217391,0,0,0,.11486486,.16,0,0,0,0,0,.10204082,0,.11392405,0,0,0,.10869565,0,.15789473,0,0,0,0,.13207547,.10869565,.22222222,0,0,.10869565,.10439561,.26923078,0,.12903225,0,0,0,0,0,0,.10869565,0,.10169491,0,0,.16867469,0,0,0,0,0,.14,0,0,0,0,0,0,0,0,0,0,.11764706,.12096774,.104,0,0,0,0,0,.12903225,0,.13333334,0,0,.10869565,0,0,.10526316,0,.15000001,0,0,0,0,.13043478,0,0,0,0,.10869565,0,0,0,.11764706,0,0,0,0,0,0,0,0,.18000001,.11023622,0,0,0,.15217391,0,0,0,.13043478,0,0,.12244898,0,0,0,.1125,0,0,.15517241,.15000001,0,0,0,0,0,0,0,0,0,0,0
100,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.12244898,.11111111,0,0,0,0,0,0,.10679612,0,0,0,0,0,0,0,0,0,0,0,0,.14,.14634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.12195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Myanmar,MMR,0,.11904762,0,.15231788,0,.13095239,.15675676,0,.16055046,0,.17475729,0,.16666667,.14285715,.11904762,.13513513,0,0,0,0,0,0,0,.10593221,0,0,0,.10227273,0,.18471338,0,.19047619,.13095239,.10714286,.10714286,0,.13513513,0,0,0,0,0,0,.13265306,0,.15476191,.15483871,0,0,.10714286,0,.14285715,0,0,0,.15384616,.14285715,0,0,0,.1027668,0,.11538462,.11904762,0,.15322581,.10121457,.11904762,0,.11952192,0,0,.14130434,0,0,0,0,.11904762,0,0,.16190477,.15384616,.18348624,0,0,0,.15476191,.11374407,0,0,0,.10176991,.1127451,.1010101,.11764706,.12903225,.13600001,0,0,0,.14285715,0,.1827957,.17857143,.16666667,0,.12844037,.16666667,.12658228,0,.13095239,.11904762,.22,0,0,.15748031,0,0,.18487395,0,.24390244,.12676056,0,0,0,0,.27058825,0,0,0,0,0,0,0,.10212766,.16666667,.11811024,0,0,.11578947,0,0,0,0,0,.19047619,0,.1632653,0,.11904762,.14285715,.14285715,0,.11888112,.20689656,.17857143,0,.15606937,0,.1724138,0,0,.10126583,0,.10569106,.16190477,.22400001
112,Belarus,BLR,0,0,0,.13983051,0,0,.26694915,0,.1822034,.2160804,.10169491,.22706422,0,0,0,.24662162,0,0,.20338982,.26666668,0,0,.10593221,0,0,0,0,.24621212,.15360501,.16949153,.17821783,0,0,0,0,.22033899,.15677966,0,0,.11016949,.22802851,.1744186,.18152866,0,0,.12711865,.12711865,.19750001,.22834645,0,.23728813,0,.19607843,0,.16949153,.16101696,0,0,0,0,.18181819,0,.19067797,0,.13898306,.13135593,.20242915,0,.2371134,.25896415,.27899686,.11864407,.10593221,0,0,.13135593,.18300654,0,.10169491,.16546762,.11440678,.16949153,0,0,.17721519,0,0,.15677966,0,0,.13559322,.19491525,.20338982,0,.10169491,.14406779,.11016949,0,.16949153,.17372881,0,0,0,0,0,0,0,0,.15677966,0,0,0,.12288135,.21287128,.1779661,.11016949,.23305085,0,.11016949,.19491525,.14406779,0,0,.24722221,.1779661,.25746268,.15677966,0,0,0,.25,.22457626,.13402061,0,.32203391,0,.13135593,.11864407,0,.16949153,0,.24100719,.22857143,.23024055,0,0,0,0,.1902834,0,0,0,0,.22027972,.12711865,0,.29661018,.17372881,.19954129,0,.17372881,0,.13983051,0,.28048781,.12288135,.1822034
116,Cambodia,KHM,0,.10679612,0,.10596026,0,0,.12972973,.11650486,0,.10050251,0,.11238532,0,0,0,0,0,.12037037,.14917128,.13333334,0,.10679612,0,0,0,0,0,.12878788,.10658307,0,0,0,0,0,0,.1595092,.22297297,0,0,.15428571,0,0,.15605095,.14563107,0,0,0,0,.15354331,0,.11210762,.1262136,.11111111,0,.12590799,.13461539,0,0,0,0,.14229248,0,.18681319,0,.11525424,.12903225,.16194332,0,.11683849,0,0,.13907285,0,0,0,.1460177,0,.17475729,.14159292,0,0,.17159763,.11926606,0,0,0,0,.1563981,0,0,0,.10176991,.17647059,0,0,.15322581,0,0,.12987013,0,0,.16504854,0,0,0,0,.11009175,0,0,0,0,0,.14563107,.11881188,0,0,.13942307,0,0,.13170731,0,.11267605,0,.12777779,0,0,0,0,0,0,0,0,0,0,0,0,.15748031,.1375,0,.23157895,0,.11870503,.14603175,.12027492,0,0,0,.14563107,.11336032,0,0,.27184466,0,.11188811,.11206897,0,0,.15028901,.10779817,0,.10476191,0,0,0,.10162602,.12380952,0
120,Cameroon,CMR,0,0,.1875,0,0,.17142858,0,0,0,0,0,0,0,0,.11594203,0,.10204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.14814815,0,0,0,0,0,0,0,0,0,.13636364,0,0,0,0,0,0,.10526316,0,0,0,0,0,0,0,.125,0,0,0,0,0,0,0,.11111111,0,0,0,0,0,0,0,0,0,.10843374,0,0,0,0,0,.16,0,.25,.17307693,0,0,.1875,0,0,0,0,0,0,0,.24137931,0,0,0,0,0,0,0,0,.11009175,.11904762,0,0,0,0,0,0,0,0,0,.19354838,0,0,0,0,0,0,0,0,0,.10526316,0,.35294119,0,0,0,.16666667,0,0,0,0,0,0,0,0,0,0,.10810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15789473,0,0,0
124,Canada,CAN,0,.10909091,0,0,0,0,0,0,0,0,0,0,0,.13953489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15000001,.19512194,.2,.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16981132,.22580644,.14814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13461539,0,0,0,0,0,0,0,0,0,0,0,0,0,.15909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10236221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.12931034,0,0,0,0,0,0,0,0,0,0,0,.112
136,Cayman Isds,CYM,0,0,0,.12878788,0,0,.20075758,0,.27651516,.26884422,0,.28669724,0,0,0,.26013514,0,.11742424,.19318181,.3037037,0,0,.10227273,.24621212,.12878788,0,0,0,.20376176,.25378788,.12623763,0,0,0,0,.13257575,.13636364,0,0,.16666667,.27790973,.21511628,.3121019,0,0,.10227273,.10227273,.235,.27651516,0,.31439394,0,.24836601,0,.21549636,.15151516,0,0,0,0,.19318181,0,.15909091,0,.10169491,.125,.26136363,0,.28522336,.20454545,.13479623,.11742424,0,0,0,.17045455,.18300654,0,0,.11151079,.14393939,.17045455,0,0,.1780303,0,0,.17424242,0,0,0,.27651516,.23106061,0,0,0,0,0,.23484848,.18939394,0,0,0,0,0,0,0,0,.11742424,0,0,0,.125,.28217822,.26893941,0,.28787878,0,0,.13257575,.16287878,0,0,.29722223,.15530303,.20895523,0,0,0,0,.22348484,.26893941,.12371134,0,.25,0,.14772727,0,0,.18181819,0,.34172663,.25396827,.3676976,0,0,0,.10606061,.14015152,0,0,.11363637,0,.19930071,.14393939,0,.26893941,.18939394,.23165138,0,.15530303,0,0,0,.31060606,.13257575,.15151516
140,Central African Rep.,CAF,0,0,0,0,0,0,0,.12539186,.12852664,.38693467,0,.27293578,0,0,0,.17554858,0,.13793103,.11598746,.15047021,0,0,0,.15360501,.10658307,0,0,.20376176,0,0,.22029702,0,0,0,0,.10971787,0,0,0,.11912226,.3111639,.43410853,.36363637,0,0,0,0,.2525,.18181819,0,.25705329,0,.3267974,0,.38256657,.11285266,0,0,0,0,.18808778,0,0,0,.23197491,0,.20376176,0,.20062695,.11285266,0,.19122256,0,0,0,.27586207,.34858388,0,0,.35109717,0,.10031348,0,0,.15673982,0,0,.20689656,0,0,0,.13479623,.14733543,0,0,0,0,0,.12225705,.12225705,0,0,0,0,0,0,0,0,0,0,0,0,0,.28217822,.13166144,0,.16614421,0,0,.13479623,0,0,0,.20277777,.12225705,.18181819,0,0,0,0,.12852664,.13166144,.26332289,0,.15673982,0,0,.17868339,0,.14420062,0,.26018807,.34482759,.34796238,0,0,0,0,.14106584,0,0,0,0,.15360501,0,0,.14106584,.10344828,.34633029,0,0,0,0,0,.14106584,0,0
